severity,category,source_image,detail
error,invalid_image_or_label,train/images/20240211_162333_jpg.rf.CrrVo68GsyjXLUWoEBJR.jpg,Non-default EXIF orientation: normalize image AND labels together before use.
error,invalid_image_or_label,train/images/20240211_162512_jpg.rf.oLD9ZgWFKJDsjQvJeQdr.jpg,Non-default EXIF orientation: normalize image AND labels together before use.
error,invalid_image_or_label,train/images/20240211_162529_jpg.rf.rDAFaAkQuMrz7rCiKZTR.jpg,Non-default EXIF orientation: normalize image AND labels together before use.
error,invalid_image_or_label,train/images/20240211_162535_jpg.rf.x75sATmzYy7sQw1JzmqM.jpg,Non-default EXIF orientation: normalize image AND labels together before use.
error,invalid_image_or_label,train/images/20240211_162552_jpg.rf.mWkw6MtJQdjdLakh60WE.jpg,Non-default EXIF orientation: normalize image AND labels together before use.
error,invalid_image_or_label,train/images/20240211_162557_jpg.rf.yS5N9pxbai6N1Q7Kv6Rp.jpg,Non-default EXIF orientation: normalize image AND labels together before use.
error,invalid_image_or_label,train/images/20240211_162601_jpg.rf.V1bhqTXz201PR8HFRtY5.jpg,Non-default EXIF orientation: normalize image AND labels together before use.
error,invalid_image_or_label,train/images/20240211_162628_jpg.rf.LnRJS1hBLSp2wLW0B3NT.jpg,Non-default EXIF orientation: normalize image AND labels together before use.
error,invalid_image_or_label,train/images/20240211_162641_jpg.rf.jH1CVxNzNr2lpEsuKgWl.jpg,Non-default EXIF orientation: normalize image AND labels together before use.
error,invalid_image_or_label,train/images/20240211_162642_jpg.rf.ss0J2gl7zyTdl9tGc6nT.jpg,Non-default EXIF orientation: normalize image AND labels together before use.
error,invalid_image_or_label,train/images/20240211_162718_jpg.rf.Xy79qYY1qsTtXzLw40hX.jpg,Non-default EXIF orientation: normalize image AND labels together before use.
error,invalid_image_or_label,train/images/20240211_162726_jpg.rf.E7YMyPvkXwIXfY45e6xP.jpg,Non-default EXIF orientation: normalize image AND labels together before use.
error,invalid_image_or_label,train/images/20240211_162727_jpg.rf.5BWOZRh3xaBtXlaLMbkv.jpg,Non-default EXIF orientation: normalize image AND labels together before use.
error,invalid_image_or_label,train/images/20240211_162824_jpg.rf.UztI0kFGQD89UdZAIlBb.jpg,Non-default EXIF orientation: normalize image AND labels together before use.
error,invalid_image_or_label,train/images/20240211_163016_jpg.rf.4NfWNxuwk3FOrO2YPV6Z.jpg,Non-default EXIF orientation: normalize image AND labels together before use.
error,invalid_image_or_label,train/images/20240211_164416_jpg.rf.4pNAFGx2vKvf5UroVE7F.jpg,Non-default EXIF orientation: normalize image AND labels together before use.
error,invalid_image_or_label,train/images/20240211_164419_jpg.rf.awDdKwQHYy4prJDtqNSQ.jpg,Non-default EXIF orientation: normalize image AND labels together before use.
error,invalid_image_or_label,train/images/20240211_164433_jpg.rf.K3I8lftjRY4sX5FNZx3T.jpg,Non-default EXIF orientation: normalize image AND labels together before use.
error,invalid_image_or_label,train/images/20240211_164434_jpg.rf.Vg5R2tbW1lbNGoHtK06K.jpg,Non-default EXIF orientation: normalize image AND labels together before use.
error,invalid_image_or_label,train/images/20240211_164444_jpg.rf.9jLKCFu2XuYbO8Dxivsa.jpg,Non-default EXIF orientation: normalize image AND labels together before use.
error,invalid_image_or_label,train/images/20240211_164549_jpg.rf.fQK0nHDXuMvRDjciDSKW.jpg,Non-default EXIF orientation: normalize image AND labels together before use.
error,invalid_image_or_label,train/images/20240211_164553_jpg.rf.cGKVJyVRx5ZUDuG1lzx9.jpg,Non-default EXIF orientation: normalize image AND labels together before use.
error,invalid_image_or_label,train/images/20240211_164608_jpg.rf.B0PpzsAnOi6cbgdfGOxN.jpg,Non-default EXIF orientation: normalize image AND labels together before use.
error,invalid_image_or_label,train/images/20240211_165748_jpg.rf.E6dTC6borxUKb8QAin1d.jpg,Non-default EXIF orientation: normalize image AND labels together before use.
error,invalid_image_or_label,train/images/20240211_165802_jpg.rf.HWc0BoVu9i8w4iwCile3.jpg,Non-default EXIF orientation: normalize image AND labels together before use.
error,invalid_image_or_label,train/images/20240211_165822_jpg.rf.GOqwTi6aXug4XII7H8SE.jpg,Non-default EXIF orientation: normalize image AND labels together before use.
error,invalid_image_or_label,train/images/20240211_170339_jpg.rf.IdQlNpO8lLf6bveY3zkL.jpg,Non-default EXIF orientation: normalize image AND labels together before use.
error,invalid_image_or_label,train/images/20240211_170349_jpg.rf.PKbHFFLV8Dcewr9GbIBn.jpg,Non-default EXIF orientation: normalize image AND labels together before use.
error,invalid_image_or_label,train/images/20240214_135723_jpg.rf.mZ0JnkVU0AJnDT208eGm.jpg,Non-default EXIF orientation: normalize image AND labels together before use.
error,invalid_image_or_label,train/images/20240214_135729_jpg.rf.2ztWwXbopQg3eWzZ6IBE.jpg,Non-default EXIF orientation: normalize image AND labels together before use.
error,invalid_image_or_label,train/images/20240214_135802_jpg.rf.ZVQdT9Hyu0vDxCyDIcg5.jpg,Non-default EXIF orientation: normalize image AND labels together before use.
error,invalid_image_or_label,train/images/20240214_135911_jpg.rf.RttsBKGldWMVQrU5utQz.jpg,"Line 2: coordinates must lie in [0, 1]."
error,invalid_image_or_label,train/images/20240214_140006_jpg.rf.w3Ud6mKNP8Mi8sTXG1ls.jpg,Non-default EXIF orientation: normalize image AND labels together before use.
error,invalid_image_or_label,train/images/20240214_141045_jpg.rf.gh7SxTcJlypOi9LOvvMZ.jpg,Non-default EXIF orientation: normalize image AND labels together before use.
